county_name,state_name,state,is_desert
Houston County,Alabama,AL,True
Choctaw County,Alabama,AL,False
Russell County,Alabama,AL,False
Sussex County,Delaware,DE,False
Jackson County,Alabama,AL,False
Madison County,Alabama,AL,False
Mohave County,Arizona,AZ,True
Chicot County,Arkansas,AR,False
Randolph County,Arkansas,AR,False
Lafayette County,Arkansas,AR,False
Hempstead County,Arkansas,AR,False
San Luis Obispo County,California,CA,True
San Mateo County,California,CA,False
Sierra County,California,CA,False
La Plata County,Colorado,CO,True
Bradford County,Florida,FL,False
New Castle County,Delaware,DE,False
Western Connecticut Planning Region,Connecticut,CT,False
Brevard County,Florida,FL,False
Walton County,Florida,FL,False
Hernando County,Florida,FL,False
Hamilton County,Florida,FL,False
Jefferson County,Florida,FL,False
Duval County,Florida,FL,False
Elbert County,Georgia,GA,False
Murray County,Georgia,GA,False
Owyhee County,Idaho,ID,True
Idaho County,Idaho,ID,True
Livingston County,Illinois,IL,False
Rock Island County,Illinois,IL,False
Mahnomen County,Minnesota,MN,False
Lake County,Indiana,IN,False
Maricopa County,Arizona,AZ,False
Sacramento County,California,CA,False
Ringgold County,Iowa,IA,False
Tulare County,California,CA,True
San Benito County,California,CA,False
Scott County,Iowa,IA,False
Hennepin County,Minnesota,MN,False
Mason County,Illinois,IL,False
Bronx County,New York,NY,False
Labette County,Kansas,KS,False
Westchester County,New York,NY,False
Madison County,New York,NY,False
Whitley County,Kentucky,KY,False
Providence County,Rhode Island,RI,False
Erie County,New York,NY,False
Lee County,Texas,TX,False
Saratoga County,New York,NY,False
Talladega County,Alabama,AL,False
Letcher County,Kentucky,KY,False
Cass County,North Dakota,ND,False
Cuyahoga County,Ohio,OH,False
Hamilton County,Ohio,OH,False
Plaquemines Parish,Louisiana,LA,False
De Soto Parish,Louisiana,LA,False
Union Parish,Louisiana,LA,False
Vernon Parish,Louisiana,LA,False
Macon County,Alabama,AL,False
Crenshaw County,Alabama,AL,False
Baltimore County,Maryland,MD,False
Dorchester County,Maryland,MD,False
Charles County,Maryland,MD,False
Cecil County,Maryland,MD,False
Barnstable County,Massachusetts,MA,False
Middlesex County,Massachusetts,MA,False
Marquette County,Michigan,MI,True
Gogebic County,Michigan,MI,False
Monroe County,Michigan,MI,False
Presque Isle County,Michigan,MI,False
Lake County,Minnesota,MN,True
Washington County,Minnesota,MN,False
Adams County,Mississippi,MS,True
Lowndes County,Mississippi,MS,False
Tunica County,Mississippi,MS,False
Tippah County,Mississippi,MS,False
Jefferson County,Missouri,MO,False
Beaverhead County,Montana,MT,False
Valley County,Montana,MT,True
Blaine County,Montana,MT,False
Flathead County,Montana,MT,True
Strafford County,New Hampshire,NH,False
Atlantic County,New Jersey,NJ,False
Cape May County,New Jersey,NJ,False
Warren County,New Jersey,NJ,False
Hunterdon County,New Jersey,NJ,False
Monmouth County,New Jersey,NJ,False
Middlesex County,New Jersey,NJ,False
San Juan County,New Mexico,NM,True
Essex County,New York,NY,False
Columbus County,North Carolina,NC,False
Cherokee County,North Carolina,NC,False
Polk County,North Carolina,NC,False
Ashe County,North Carolina,NC,False
Dare County,North Carolina,NC,False
Hertford County,North Carolina,NC,False
Traill County,North Dakota,ND,False
McKenzie County,North Dakota,ND,False
Washington County,Ohio,OH,False
Marshall County,Oklahoma,OK,False
Curry County,Oregon,OR,False
Clatsop County,Oregon,OR,False
Klamath County,Oregon,OR,True
Josephine County,Oregon,OR,False
Wasco County,Oregon,OR,True
Bowie County,Texas,TX,False
Lancaster County,Pennsylvania,PA,False
Northampton County,Pennsylvania,PA,False
Washington County,Rhode Island,RI,False
Beaufort County,South Carolina,SC,False
Horry County,South Carolina,SC,False
York County,South Carolina,SC,False
