county_name,state_name,population_18_24
Baldwin County,Alabama,198814
Barbour County,Alabama,21172
Bibb County,Alabama,19074
Blount County,Alabama,52301
Bullock County,Alabama,8328
Butler County,Alabama,16290
Calhoun County,Alabama,105602
Chambers County,Alabama,28958
Cherokee County,Alabama,19370
Chilton County,Alabama,41527
Choctaw County,Alabama,9937
Clarke County,Alabama,19613
Clay County,Alabama,11574
Cleburne County,Alabama,12734
Coffee County,Alabama,49697
Colbert County,Alabama,48938
Conecuh County,Alabama,9152
Coosa County,Alabama,7249
Covington County,Alabama,32255
Crenshaw County,Alabama,11412
Cullman County,Alabama,77718
Dale County,Alabama,44793
Dallas County,Alabama,33607
DeKalb County,Alabama,65903
Elmore County,Alabama,78813
Escambia County,Alabama,32607
Etowah County,Alabama,88284
Fayette County,Alabama,14162
Franklin County,Alabama,29786
Geneva County,Alabama,22261
Greene County,Alabama,6418
Hale County,Alabama,13192
Henry County,Alabama,14091
Houston County,Alabama,95421
Jackson County,Alabama,43367
Jefferson County,Alabama,621754
Lamar County,Alabama,11257
Lauderdale County,Alabama,84991
Lawrence County,Alabama,28248
Lee County,Alabama,183188
Limestone County,Alabama,95697
Lowndes County,Alabama,8569
Macon County,Alabama,18311
Madison County,Alabama,362987
Marengo County,Alabama,16708
Marion County,Alabama,24776
Marshall County,Alabama,91739
Mobile County,Alabama,378500
Monroe County,Alabama,16834
Montgomery County,Alabama,214431
Morgan County,Alabama,110524
Perry County,Alabama,7701
Pickens County,Alabama,15988
Pike County,Alabama,35149
Randolph County,Alabama,18874
Russell County,Alabama,54032
St. Clair County,Alabama,81239
Shelby County,Alabama,206353
Sumter County,Alabama,12336
Talladega County,Alabama,69557
Tallapoosa County,Alabama,32866
Tuscaloosa County,Alabama,243766
Walker County,Alabama,56442
Washington County,Alabama,12715
Wilcox County,Alabama,9288
Winston County,Alabama,19125
Aleutians East Borough,Alaska,2745
Aleutians West Census Area,Alaska,4445
Anchorage Municipality,Alaska,280915
Bethel Census Area,Alaska,20875
Bristol Bay Borough,Alaska,634
Chugach Census Area,Alaska,6173
Copper River Census Area,Alaska,2053
Denali Borough,Alaska,1714
Dillingham Census Area,Alaska,4946
Fairbanks North Star Borough,Alaska,96755
Haines Borough,Alaska,1422
Hoonah-Angoon Census Area,Alaska,1624
Juneau City and Borough,Alaska,27651
Kenai Peninsula Borough,Alaska,50667
Ketchikan Gateway Borough,Alaska,11890
Kodiak Island Borough,Alaska,12880
Kusilvak Census Area,Alaska,10067
Lake and Peninsula Borough,Alaska,1079
Matanuska-Susitna Borough,Alaska,106620
Nome Census Area,Alaska,11245
North Slope Borough,Alaska,10608
Northwest Arctic Borough,Alaska,8831
Petersburg Borough,Alaska,2637
