geoid,county_name,state,state_name,schools_within_25mi,schools_within_50mi,schools_within_75mi
01069,Houston County,AL,Alabama,1,2,7
01023,Choctaw County,AL,Alabama,0,2,7
01113,Russell County,AL,Alabama,1,5,14
10005,Sussex County,DE,Delaware,1,6,21
01071,Jackson County,AL,Alabama,0,8,18
01089,Madison County,AL,Alabama,5,8,13
04015,Mohave County,AZ,Arizona,0,0,4
05017,Chicot County,AR,Arkansas,0,2,4
05121,Randolph County,AR,Arkansas,1,4,6
05073,Lafayette County,AR,Arkansas,1,3,14
05057,Hempstead County,AR,Arkansas,0,5,6
06079,San Luis Obispo County,CA,California,1,2,7
06081,San Mateo County,CA,California,22,43,56
06091,Sierra County,CA,California,0,2,11
08067,La Plata County,CO,Colorado,1,1,1
12007,Bradford County,FL,Florida,3,10,11
10003,New Castle County,DE,Delaware,8,64,115
09190,Western Connecticut Planning Region,CT,Connecticut,11,110,212
12009,Brevard County,FL,Florida,3,11,24
12131,Walton County,FL,Florida,1,3,6
12053,Hernando County,FL,Florida,1,13,27
12047,Hamilton County,FL,Florida,0,2,8
12065,Jefferson County,FL,Florida,3,5,6
12031,Duval County,FL,Florida,6,8,12
13105,Elbert County,GA,Georgia,1,10,24
13213,Murray County,GA,Georgia,1,12,28
16073,Owyhee County,ID,Idaho,0,0,5
16049,Idaho County,ID,Idaho,0,0,0
17105,Livingston County,IL,Illinois,0,4,25
17161,Rock Island County,IL,Illinois,5,9,20
27087,Mahnomen County,MN,Minnesota,1,5,14
18089,Lake County,IN,Indiana,7,47,60
04013,Maricopa County,AZ,Arizona,1,7,7
06067,Sacramento County,CA,California,9,17,40
19159,Ringgold County,IA,Iowa,2,4,10
06107,Tulare County,CA,California,1,2,9
06069,San Benito County,CA,California,0,6,23
19163,Scott County,IA,Iowa,5,11,18
27053,Hennepin County,MN,Minnesota,24,29,37
17125,Mason County,IL,Illinois,0,12,17
36005,Bronx County,NY,New York,143,174,218
20099,Labette County,KS,Kansas,3,8,12
36119,Westchester County,NY,New York,44,176,206
36053,Madison County,NY,New York,10,21,33
21235,Whitley County,KY,Kentucky,3,4,16
44007,Providence County,RI,Rhode Island,14,79,122
36029,Erie County,NY,New York,11,19,34
48287,Lee County,TX,Texas,0,4,13
36091,Saratoga County,NY,New York,7,24,37
01121,Talladega County,AL,Alabama,1,9,20
21133,Letcher County,KY,Kentucky,2,4,16
38017,Cass County,ND,North Dakota,3,5,11
39035,Cuyahoga County,OH,Ohio,12,29,40
39061,Hamilton County,OH,Ohio,15,21,33
22075,Plaquemines Parish,LA,Louisiana,0,10,11
22031,De Soto Parish,LA,Louisiana,1,8,13
22111,Union Parish,LA,Louisiana,1,3,4
22115,Vernon Parish,LA,Louisiana,0,3,5
01087,Macon County,AL,Alabama,2,11,14
01041,Crenshaw County,AL,Alabama,1,7,11
24005,Baltimore County,MD,Maryland,21,60,99
24019,Dorchester County,MD,Maryland,0,8,50
24017,Charles County,MD,Maryland,1,29,60
24015,Cecil County,MD,Maryland,9,71,121
25001,Barnstable County,MA,Massachusetts,1,3,62
25017,Middlesex County,MA,Massachusetts,52,86,120
26103,Marquette County,MI,Michigan,1,1,3
26053,Gogebic County,MI,Michigan,1,1,3
26115,Monroe County,MI,Michigan,7,23,38
26141,Presque Isle County,MI,Michigan,0,1,3
27075,Lake County,MN,Minnesota,0,0,6
27163,Washington County,MN,Minnesota,20,29,35
28001,Adams County,MS,Mississippi,0,1,9
28087,Lowndes County,MS,Mississippi,2,3,7
28143,Tunica County,MS,Mississippi,1,9,13
28139,Tippah County,MS,Mississippi,2,6,20
29099,Jefferson County,MO,Missouri,1,22,24
30001,Beaverhead County,MT,Montana,1,1,2
30105,Valley County,MT,Montana,0,0,1
30005,Blaine County,MT,Montana,1,3,3
30029,Flathead County,MT,Montana,1,2,3
33017,Strafford County,NH,New Hampshire,3,27,87
34001,Atlantic County,NJ,New Jersey,3,48,92
34009,Cape May County,NJ,New Jersey,1,8,68
34041,Warren County,NJ,New Jersey,9,64,273
34019,Hunterdon County,NJ,New Jersey,14,95,272
34025,Monmouth County,NJ,New Jersey,28,163,252
34023,Middlesex County,NJ,New Jersey,48,184,258
35045,San Juan County,NM,New Mexico,0,0,3
36031,Essex County,NY,New York,1,9,18
37047,Columbus County,NC,North Carolina,1,8,17
37039,Cherokee County,NC,North Carolina,2,8,22
37149,Polk County,NC,North Carolina,3,18,40
37009,Ashe County,NC,North Carolina,1,10,30
37055,Dare County,NC,North Carolina,0,3,8
37091,Hertford County,NC,North Carolina,2,8,29
38097,Traill County,ND,North Dakota,1,6,9
38053,McKenzie County,ND,North Dakota,0,2,3
39167,Washington County,OH,Ohio,3,8,24
40095,Marshall County,OK,Oklahoma,2,4,11
02020,Anchorage Municipality,AK,Alaska,0,3,3
02180,Nome Census Area,AK,Alaska,0,0,0
02070,Dillingham Census Area,AK,Alaska,0,0,0
41015,Curry County,OR,Oregon,0,1,4
41007,Clatsop County,OR,Oregon,1,4,23
41035,Klamath County,OR,Oregon,0,1,3
41033,Josephine County,OR,Oregon,1,3,4
02066,Copper River Census Area,AK,Alaska,0,0,0
41065,Wasco County,OR,Oregon,0,1,17
48037,Bowie County,TX,Texas,2,3,8
42071,Lancaster County,PA,Pennsylvania,11,45,125
42095,Northampton County,PA,Pennsylvania,11,54,214
44009,Washington County,RI,Rhode Island,5,26,105
45013,Beaufort County,SC,South Carolina,1,3,12
45051,Horry County,SC,South Carolina,1,4,12
45091,York County,SC,South Carolina,5,23,43
46023,Charles Mix County,SD,South Dakota,0,2,3
04007,Gila County,AZ,Arizona,0,0,0
47157,Shelby County,TN,Tennessee,8,10,18
47165,Sumner County,TN,Tennessee,5,17,19
47019,Carter County,TN,Tennessee,5,12,19
47123,Monroe County,TN,Tennessee,1,10,20
47013,Campbell County,TN,Tennessee,1,10,12
48273,Kleberg County,TX,Texas,1,3,4
48229,Hudspeth County,TX,Texas,0,0,3
48419,Shelby County,TX,Texas,0,2,13
48301,Loving County,TX,Texas,0,0,5
49037,San Juan County,UT,Utah,0,0,0
49019,Grand County,UT,Utah,0,0,1
49049,Utah County,UT,Utah,2,7,9
49023,Juab County,UT,Utah,0,0,3
51133,Northumberland County,VA,Virginia,1,3,27
51193,Westmoreland County,VA,Virginia,1,6,44
51073,Gloucester County,VA,Virginia,1,18,25
