county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Autauga County,Alabama,40767,11530,28.28267961831874
Baldwin County,Alabama,171988,56408,32.79763704444496
Barbour County,Alabama,17628,2021,11.464715225777173
Bibb County,Alabama,15931,1827,11.468206641139917
Blount County,Alabama,40991,6386,15.57902954307043
Bullock County,Alabama,7378,664,8.999728923827595
Butler County,Alabama,13164,1812,13.764813126709207
Calhoun County,Alabama,78627,16154,20.545105370928564
Chambers County,Alabama,24484,3571,14.585035124979578
Cherokee County,Alabama,18777,2994,15.945039143633169
Chilton County,Alabama,30747,4688,15.24701596903763
Choctaw County,Alabama,8998,1252,13.914203156256946
Clarke County,Alabama,15966,2463,15.426531379180759
Clay County,Alabama,10259,1563,15.235403060727165
Cleburne County,Alabama,10861,1978,18.211951017401713
Coffee County,Alabama,36904,7945,21.528831562974204
Colbert County,Alabama,40978,8307,20.271853189516325
Conecuh County,Alabama,8127,1067,13.129075919773594
Coosa County,Alabama,7935,1180,14.870825456836801
Covington County,Alabama,26459,4545,17.177519936505536
Crenshaw County,Alabama,9104,1530,16.805799648506152
Cullman County,Alabama,62400,11910,19.08653846153846
Dale County,Alabama,33832,6539,19.327855284937336
Dallas County,Alabama,25507,4338,17.007096091269062
DeKalb County,Alabama,48464,6727,13.880406074612084
Elmore County,Alabama,61916,15104,24.394340719684735
Escambia County,Alabama,25499,3185,12.490685909251344
Etowah County,Alabama,72570,12683,17.476918836984982
Fayette County,Alabama,11220,1750,15.597147950089127
Franklin County,Alabama,21156,3150,14.889393079977312
Geneva County,Alabama,18969,2526,13.316463703938004
Greene County,Alabama,5274,658,12.476298824421692
Hale County,Alabama,9968,1672,16.773675762439808
Henry County,Alabama,12722,2758,21.678981292249645
Houston County,Alabama,74490,16960,22.768156799570413
Jackson County,Alabama,37890,5892,15.55027711797308
Jefferson County,Alabama,454593,163366,35.93676101479785
Lamar County,Alabama,9826,1139,11.591695501730104
Lauderdale County,Alabama,64931,17586,27.084135466880227
Lawrence County,Alabama,23380,3652,15.620188195038494
Lee County,Alabama,109875,45415,41.333333333333336
Limestone County,Alabama,75594,22974,30.391300896896578
Lowndes County,Alabama,6999,971,13.873410487212459
Macon County,Alabama,11661,2418,20.735785953177256
Madison County,Alabama,272559,124533,45.690290909491154
Marengo County,Alabama,12932,2640,20.414475719146306
Marion County,Alabama,20753,2663,12.831879728232062
Marshall County,Alabama,65093,13882,21.32640990582705
Mobile County,Alabama,280248,70483,25.150224087237017
Monroe County,Alabama,13506,1534,11.357915000740412
Montgomery County,Alabama,150598,51616,34.27402754352647
Morgan County,Alabama,85093,19776,23.240454561479794
Perry County,Alabama,5211,878,16.848973325657262
Pickens County,Alabama,13612,1871,13.745224801645605
Pike County,Alabama,19352,5286,27.315006200909465
Randolph County,Alabama,15690,3219,20.51625239005736
Russell County,Alabama,40019,6744,16.85199530223144
St. Clair County,Alabama,65356,13034,19.943080971907705
Shelby County,Alabama,155808,71981,46.19852639145615
Sumter County,Alabama,7121,1355,19.028226372700463
Talladega County,Alabama,57894,9740,16.823850485369814
Tallapoosa County,Alabama,29757,5572,18.725005880969185
Tuscaloosa County,Alabama,143277,44957,31.37768099555407
Walker County,Alabama,44887,7183,16.002406041838395
Washington County,Alabama,10738,1740,16.204134848202646
Wilcox County,Alabama,6931,855,12.335882268070986
Winston County,Alabama,17058,2281,13.372024856372377
Aleutians East Borough,Alaska,2607,473,18.143459915611814
Aleutians West Census Area,Alaska,3921,687,17.521040550879878
Anchorage Municipality,Alaska,192495,72530,37.678900750668845
Bethel Census Area,Alaska,10181,1058,10.391906492486003
Bristol Bay Borough,Alaska,696,175,25.143678160919542
Chugach Census Area,Alaska,4861,1438,29.58239045463896
Copper River Census Area,Alaska,1841,522,28.354155350353068
Denali Borough,Alaska,1663,393,23.631990378833436
Dillingham Census Area,Alaska,2863,554,19.350331819769472
Fairbanks North Star Borough,Alaska,61207,20632,33.70856274609113
Haines Borough,Alaska,1581,584,36.93864642631246
Hoonah-Angoon Census Area,Alaska,1760,410,23.295454545454543
Juneau City and Borough,Alaska,22898,9264,40.45768189361516
Kenai Peninsula Borough,Alaska,42452,12477,29.3908414208989
Ketchikan Gateway Borough,Alaska,9985,2693,26.97045568352529
Kodiak Island Borough,Alaska,8456,2419,28.606906338694415
Kusilvak Census Area,Alaska,3994,230,5.758637956935403
Lake and Peninsula Borough,Alaska,652,120,18.404907975460123
Matanuska-Susitna Borough,Alaska,73088,17746,24.280319614711033
Nome Census Area,Alaska,5547,968,17.4508743464936
North Slope Borough,Alaska,7302,1090,14.927417145987402
Northwest Arctic Borough,Alaska,4084,506,12.389813907933398
Petersburg Borough,Alaska,2466,677,27.453365774533655
Prince of Wales-Hyder Census Area,Alaska,4098,696,16.98389458272328
Sitka City and Borough,Alaska,6101,2097,34.37141452220948
