county_name,state_name,median_income
Autauga County,Alabama,69841
Baldwin County,Alabama,75019
Barbour County,Alabama,44290
Bibb County,Alabama,51215
Blount County,Alabama,61096
Bullock County,Alabama,36723
Butler County,Alabama,44881
Calhoun County,Alabama,55826
Chambers County,Alabama,49295
Cherokee County,Alabama,50769
Chilton County,Alabama,61873
Choctaw County,Alabama,44483
Clarke County,Alabama,49167
Clay County,Alabama,51852
Cleburne County,Alabama,53319
Coffee County,Alabama,64672
Colbert County,Alabama,56736
Conecuh County,Alabama,42266
Coosa County,Alabama,57063
Covington County,Alabama,50886
Crenshaw County,Alabama,49040
Cullman County,Alabama,60916
Dale County,Alabama,53955
Dallas County,Alabama,36810
DeKalb County,Alabama,51149
Elmore County,Alabama,75553
Escambia County,Alabama,44447
Etowah County,Alabama,53070
Fayette County,Alabama,50733
Franklin County,Alabama,51493
Geneva County,Alabama,50951
Greene County,Alabama,31495
Hale County,Alabama,41325
Henry County,Alabama,60135
Houston County,Alabama,57531
Jackson County,Alabama,49454
Jefferson County,Alabama,64589
Lamar County,Alabama,47447
Lauderdale County,Alabama,59082
Lawrence County,Alabama,60040
Lee County,Alabama,61123
Limestone County,Alabama,83534
Lowndes County,Alabama,35160
Macon County,Alabama,45951
Madison County,Alabama,83528
Marengo County,Alabama,44205
Marion County,Alabama,50714
Marshall County,Alabama,60946
Mobile County,Alabama,58119
Monroe County,Alabama,40225
Montgomery County,Alabama,58153
Morgan County,Alabama,64858
Perry County,Alabama,34368
Pickens County,Alabama,47014
Pike County,Alabama,47961
Randolph County,Alabama,51551
Russell County,Alabama,50046
St. Clair County,Alabama,78993
Shelby County,Alabama,93543
Sumter County,Alabama,37981
Talladega County,Alabama,56249
Tallapoosa County,Alabama,57185
Tuscaloosa County,Alabama,63947
Walker County,Alabama,54509
Washington County,Alabama,60503
Wilcox County,Alabama,42236
Winston County,Alabama,48032
Aleutians East Borough,Alaska,72692
Aleutians West Census Area,Alaska,107344
Anchorage Municipality,Alaska,98152
Bethel Census Area,Alaska,70616
Bristol Bay Borough,Alaska,100625
Chugach Census Area,Alaska,88565
Copper River Census Area,Alaska,75053
Denali Borough,Alaska,88935
Dillingham Census Area,Alaska,74250
Fairbanks North Star Borough,Alaska,84722
Haines Borough,Alaska,72607
Hoonah-Angoon Census Area,Alaska,62500
Juneau City and Borough,Alaska,100513
Kenai Peninsula Borough,Alaska,77722
Ketchikan Gateway Borough,Alaska,89155
Kodiak Island Borough,Alaska,83716
Kusilvak Census Area,Alaska,48233
Lake and Peninsula Borough,Alaska,64000
Matanuska-Susitna Borough,Alaska,90625
Nome Census Area,Alaska,76643
North Slope Borough,Alaska,86313
Northwest Arctic Borough,Alaska,81298
Petersburg Borough,Alaska,77026
Prince of Wales-Hyder Census Area,Alaska,59079
Sitka City and Borough,Alaska,101207
Skagway Municipality,Alaska,78594
Southeast Fairbanks Census Area,Alaska,74223
Wrangell City and Borough,Alaska,64545
Yakutat City and Borough,Alaska,80625
Yukon-Koyukuk Census Area,Alaska,52642
Apache County,Arizona,40338
Cochise County,Arizona,58970
Coconino County,Arizona,69748
Gila County,Arizona,59089
Graham County,Arizona,67326
Greenlee County,Arizona,75239
La Paz County,Arizona,49506
Maricopa County,Arizona,85518
Mohave County,Arizona,55799
Navajo County,Arizona,52752
Pima County,Arizona,67929
Pinal County,Arizona,77588
Santa Cruz County,Arizona,53614
Yavapai County,Arizona,66106
Yuma County,Arizona,60417
Arkansas County,Arkansas,60831
Ashley County,Arkansas,44481
Baxter County,Arkansas,48427
Benton County,Arkansas,89879
Boone County,Arkansas,54195
Bradley County,Arkansas,39565
Calhoun County,Arkansas,63654
Carroll County,Arkansas,55187
Chicot County,Arkansas,39683
Clark County,Arkansas,50985
Clay County,Arkansas,48500
Cleburne County,Arkansas,55979
Cleveland County,Arkansas,50509
Columbia County,Arkansas,47363
Conway County,Arkansas,51212
Craighead County,Arkansas,57615
Crawford County,Arkansas,60362
Crittenden County,Arkansas,54271
Cross County,Arkansas,47012
Dallas County,Arkansas,44694
Desha County,Arkansas,36064
Drew County,Arkansas,41071
Faulkner County,Arkansas,65071
Franklin County,Arkansas,51919
Fulton County,Arkansas,38941
Garland County,Arkansas,55409
Grant County,Arkansas,72512
Greene County,Arkansas,56793
Hempstead County,Arkansas,47654
Hot Spring County,Arkansas,52644
Howard County,Arkansas,44492
Independence County,Arkansas,56009
Izard County,Arkansas,47728
Jackson County,Arkansas,41215
Jefferson County,Arkansas,48552
Johnson County,Arkansas,44808
Lafayette County,Arkansas,37237
Lawrence County,Arkansas,44164
Lee County,Arkansas,36860
Lincoln County,Arkansas,51667
Little River County,Arkansas,52241
Logan County,Arkansas,54237
Lonoke County,Arkansas,71449
Madison County,Arkansas,53888
Marion County,Arkansas,46953
Miller County,Arkansas,49983
Mississippi County,Arkansas,53428
Monroe County,Arkansas,43955
Montgomery County,Arkansas,49015
Nevada County,Arkansas,41761
Newton County,Arkansas,47395
Ouachita County,Arkansas,49838
Perry County,Arkansas,60078
Phillips County,Arkansas,38874
Pike County,Arkansas,51000
Poinsett County,Arkansas,47188
Polk County,Arkansas,49252
Pope County,Arkansas,54606
Prairie County,Arkansas,51094
Pulaski County,Arkansas,60385
Randolph County,Arkansas,52838
St. Francis County,Arkansas,41784
Saline County,Arkansas,76534
Scott County,Arkansas,45955
Searcy County,Arkansas,41978
Sebastian County,Arkansas,56450
Sevier County,Arkansas,51641
Sharp County,Arkansas,42950
Stone County,Arkansas,38531
Union County,Arkansas,50221
Van Buren County,Arkansas,47266
Washington County,Arkansas,66426
White County,Arkansas,53435
Woodruff County,Arkansas,49982
Yell County,Arkansas,58870
Alameda County,California,126240
Alpine County,California,110781
Amador County,California,81526
Butte County,California,68574
Calaveras County,California,79877
Colusa County,California,75149
Contra Costa County,California,125727
Del Norte County,California,66780
El Dorado County,California,106190
Fresno County,California,71434
Glenn County,California,70487
Humboldt County,California,61135
Imperial County,California,56393
Inyo County,California,72432
Kern County,California,67660
Kings County,California,68750
Lake County,California,58738
Lassen County,California,64395
Los Angeles County,California,87760
Madera County,California,75496
Marin County,California,142785
Mariposa County,California,65378
Mendocino County,California,64688
Merced County,California,65044
Modoc County,California,56648
Mono County,California,86953
Monterey County,California,94486
Napa County,California,108970
Nevada County,California,84905
Orange County,California,113702
Placer County,California,114678
Plumas County,California,64946
Riverside County,California,89672
Sacramento County,California,88724
San Benito County,California,108289
San Bernardino County,California,82184
San Diego County,California,102285
San Francisco County,California,141446
San Joaquin County,California,88531
San Luis Obispo County,California,93398
San Mateo County,California,156000
Santa Barbara County,California,95977
Santa Clara County,California,159674
Santa Cruz County,California,109266
Shasta County,California,71931
Sierra County,California,60000
Siskiyou County,California,55499
Solano County,California,99994
Sonoma County,California,102840
Stanislaus County,California,79661
Sutter County,California,75450
Tehama County,California,61834
Trinity County,California,53498
Tulare County,California,69489
Tuolumne County,California,72259
Ventura County,California,107327
Yolo County,California,88818
Yuba County,California,73313
Adams County,Colorado,91387
Alamosa County,Colorado,51445
Arapahoe County,Colorado,97215
Archuleta County,Colorado,76524
Baca County,Colorado,40380
Bent County,Colorado,49194
Boulder County,Colorado,102772
Broomfield County,Colorado,121025
Chaffee County,Colorado,70909
Cheyenne County,Colorado,67768
Clear Creek County,Colorado,96667
Conejos County,Colorado,47209
Costilla County,Colorado,36519
