county_name,state,mobility_rate
Morris County,NJ,0.4381
DuPage County,IL,0.3664
Fairfield County,CT,0.3506
Shelby County,AL,0.2784
Greenlee County,AZ,0.2156
Kenai Peninsula Borough,AK,0.2032
Anchorage Municipality,AK,0.2002
Benton County,AR,0.1994
Juneau City and Borough,AK,0.1987
Baldwin County,AL,0.1935
Madison County,AL,0.188
Maricopa County,AZ,0.1879
Lee County,AL,0.1866
Fairbanks North Star Borough,AK,0.1848
Lauderdale County,AL,0.1844
Covington County,AL,0.1791
Yavapai County,AZ,0.1786
Morgan County,AL,0.1748
Coconino County,AZ,0.173
Matanuska-Susitna Borough,AK,0.1725
Coffee County,AL,0.1702
Ketchikan Gateway Borough,AK,0.1657
Lamar County,AL,0.1656
Colbert County,AL,0.1648
Choctaw County,AL,0.164
Jefferson County,AL,0.1636
Fayette County,AL,0.1632
Walker County,AL,0.1631
Boone County,AR,0.162
Autauga County,AL,0.1597
Tuscaloosa County,AL,0.1581
Pima County,AZ,0.1578
Franklin County,AL,0.1577
Clarke County,AL,0.1568
Limestone County,AL,0.1565
Elmore County,AL,0.1552
Washington County,AL,0.1551
Gila County,AZ,0.1538
Baxter County,AR,0.1534
Clark County,AR,0.1531
Cochise County,AZ,0.1526
Lawrence County,AL,0.1522
Houston County,AL,0.1509
Ashley County,AR,0.1505
Cleburne County,AL,0.1502
Cullman County,AL,0.1482
Marshall County,AL,0.1482
Mobile County,AL,0.1481
Blount County,AL,0.1474
Marion County,AL,0.1468
Kodiak Island Borough,AK,0.1467
Monroe County,AL,0.1464
Jackson County,AL,0.1462
Mohave County,AZ,0.1461
St. Clair County,AL,0.1442
Chilton County,AL,0.1424
Winston County,AL,0.1409
Navajo County,AZ,0.1384
Bibb County,AL,0.138
Graham County,AZ,0.1379
Montgomery County,AL,0.1375
Marengo County,AL,0.1368
Bradley County,AR,0.1361
Arkansas County,AR,0.1359
Dale County,AL,0.1355
Etowah County,AL,0.1354
Geneva County,AL,0.1354
Escambia County,AL,0.1333
Tallapoosa County,AL,0.1327
Cherokee County,AL,0.1286
DeKalb County,AL,0.1269
Carroll County,AR,0.1263
Calhoun County,AL,0.1253
Clay County,AR,0.1252
Yuma County,AZ,0.1247
Crenshaw County,AL,0.1217
Pike County,AL,0.1187
Henry County,AL,0.1184
Barbour County,AL,0.1172
Randolph County,AL,0.117
Pinal County,AZ,0.1162
Clay County,AL,0.1146
Talladega County,AL,0.1142
Pickens County,AL,0.1131
La Paz County,AZ,0.1122
Butler County,AL,0.1004
Dallas County,AL,0.0983
Santa Cruz County,AZ,0.0972
Conecuh County,AL,0.0968
Wilcox County,AL,0.0901
Chicot County,AR,0.0882
Coosa County,AL,0.0871
Chambers County,AL,0.084
Hale County,AL,0.0815
Russell County,AL,0.0784
Apache County,AZ,0.0675
Bullock County,AL,0.0642
Sumter County,AL,0.0596
Greene County,AL,0.054
Perry County,AL,0.0527
Macon County,AL,0.0513
Northwest Arctic Borough,AK,0.0512
Lowndes County,AL,0.0476
Bethel Census Area,AK,0.0382
,,
Williams County,ND,0.4273
Stark County,ND,0.4239
Nassau County,NY,0.421
Putnam County,NY,0.4004
Rockland County,NY,0.3798
Westchester County,NY,0.3717
Richmond County,NY,0.3699
Bottineau County,ND,0.365
Montgomery County,PA,0.3642
Traill County,ND,0.3611
Chester County,PA,0.3602
Burleigh County,ND,0.3469
Bucks County,PA,0.3454
Suffolk County,NY,0.3442
Richland County,ND,0.3424
Morton County,ND,0.3378
Lavaca County,TX,0.3374
Bristol County,RI,0.3307
Collin County,TX,0.3278
Chambers County,TX,0.3263
Ward County,ND,0.3193
Delaware County,PA,0.318
Walsh County,ND,0.3168
Andrews County,TX,0.3118
Midland County,TX,0.3096
Cass County,ND,0.3058
Summit County,UT,0.3048
Williamson County,TN,0.3024
Archer County,TX,0.2975
Reagan County,TX,0.2971
Yoakum County,TX,0.2959
Saratoga County,NY,0.2952
Delaware County,OH,0.2947
Uintah County,UT,0.2946
Kingfisher County,OK,0.2939
Fort Bend County,TX,0.2935
