,county,state,opportunity_score,poverty_rate,total_pop,racial_min_pop,prop_racial_min,fips
0,Houston,AL,0.0,17.0,1295820,412848,31.85998055285456,01069
1,Choctaw,AL,0.0,21.9,149130,63498,42.57895795614564,01023
2,Russell,AL,0.0,20.2,706450,359950,50.95194281265483,01113
3,Sussex,DE,0.0,9.5,3031040,512702,16.91505225929054,10005
4,Jackson,AL,0.0,17.0,635656,55640,8.753162087670061,01071
5,Madison,AL,30.02118995368512,9.6,4833494,1527926,31.611211268701272,01089
6,Mohave,AZ,0.0,14.6,2631694,232652,8.84038949817114,04015
7,Chicot,AR,0.0,27.9,118074,67040,56.77795280925522,05017
8,Randolph,AR,0.0,18.1,225522,17268,7.656902652512837,05121
9,Lafayette,AR,0.0,20.4,73976,28388,38.3746079809668,05073
10,Hempstead,AR,0.0,19.3,235212,81400,34.60707787017669,05057
11,San Luis Obispo,CA,35.54998034571424,12.6,3380450,391244,11.573725391589877,06079
12,San Mateo,CA,26.32759880301509,7.2,8952722,3784782,42.27520970717063,06081
13,Sierra,CA,0.0,13.5,38540,2834,7.353399065905553,06091
14,La Plata,CO,24.584174399781297,10.4,674584,79938,11.849969759140448,08067
15,Bradford,FL,0.0,18.2,335458,75788,22.592396067465973,12007
16,New Castle,DE,27.99643412151434,10.3,6921056,2569858,37.131010065516016,10003
17,Brevard,FL,22.580753776908967,10.1,7541014,1321726,17.52716544485927,12009
18,Walton,FL,0.0,10.6,980096,102294,10.437140851508424,12131
19,Hernando,FL,0.0,10.4,2459200,277472,11.283018867924527,12053
20,Hamilton,FL,0.0,25.3,164168,59250,36.09107743287364,12047
21,Jefferson,FL,0.0,15.9,179938,62390,34.67305405195123,12065
22,Duval,FL,30.24812367013061,12.2,12222654,4880524,39.93014937672293,12031
23,Elbert,GA,0.0,17.7,237758,76524,32.18566777984337,13105
24,Murray,GA,0.0,15.7,485566,24182,4.98016747465844,13213
25,Owyhee,ID,0.0,13.2,148866,12440,8.356508537879703,16073
26,Idaho,ID,0.0,14.0,207406,14226,6.859010829002054,16049
27,Livingston,IL,0.0,12.2,427344,28962,6.777209929237336,17105
28,Rock Island,IL,31.39337669649699,12.6,1716900,325302,18.947055739996504,17161
29,Mahnomen,MN,25.59252110724756,16.4,64414,34512,53.57841463035986,27087
30,Lake,IN,26.95321157091623,13.3,6001176,1751042,29.178314383714127,18089
31,Maricopa,AZ,28.13202513030476,10.4,54448110,10041026,18.441459216858032,04013
32,Sacramento,CA,25.77459083688217,12.0,19110122,7453996,39.00548620254753,06067
33,Ringgold,IA,0.0,13.3,55776,1772,3.176993689041882,19159
34,Tulare,CA,21.74055436969868,19.9,5733170,709470,12.374829282927246,06107
35,San Benito,CA,0.0,8.7,801320,117048,14.606898617281486,06069
36,Scott,IA,26.00716326862879,11.7,2095446,320182,15.279897453811742,19163
37,Hennepin,MN,32.51453030215602,9.5,15258080,4095442,26.84113597516857,27053
38,Mason,IL,0.0,13.5,153626,4934,3.2116959368856834,17125
