Unnamed: 0,fips,county,state,opportunity_score,poverty_rate,total_pop,white_male_pop,white_female_pop,racial_min_pop,prop_racial_min
0,1069,Houston,AL,0.0,17.0,1295820,431170,451802,412848,31.859980552854562
1,1023,Choctaw,AL,0.0,21.9,149130,42274,43358,63498,42.57895795614564
2,1113,Russell,AL,0.0,20.2,706450,169368,177132,359950,50.95194281265483
3,10005,Sussex,DE,0.0,9.5,3031040,1219780,1298558,512702,16.91505225929054
4,1071,Jackson,AL,0.0,17.0,635656,286090,293926,55640,8.753162087670061
5,1089,Madison,AL,30.021189953685116,9.6,4833494,1661606,1643962,1527926,31.611211268701272
6,4015,Mohave,AZ,0.0,14.6,2631694,1215704,1183338,232652,8.84038949817114
7,5017,Chicot,AR,0.0,27.9,118074,26778,24256,67040,56.77795280925522
8,5121,Randolph,AR,0.0,18.1,225522,103218,105036,17268,7.656902652512837
9,5073,Lafayette,AR,0.0,20.4,73976,23030,22558,28388,38.3746079809668
10,5057,Hempstead,AR,0.0,19.3,235212,77272,76540,81400,34.60707787017669
11,6079,San Luis Obispo,CA,35.54998034571424,12.6,3380450,1498084,1491122,391244,11.573725391589877
12,6081,San Mateo,CA,26.32759880301509,7.2,8952722,2630242,2537698,3784782,42.275209707170625
13,6091,Sierra,CA,0.0,13.5,38540,17934,17772,2834,7.353399065905553
14,8067,La Plata,CO,24.584174399781297,10.4,674584,302632,292014,79938,11.849969759140448
15,12007,Bradford,FL,0.0,18.2,335458,136036,123634,75788,22.592396067465973
16,10003,New Castle,DE,27.99643412151434,10.3,6921056,2137928,2213270,2569858,37.131010065516016
18,12009,Brevard,FL,22.580753776908967,10.1,7541014,3081646,3137642,1321726,17.52716544485927
19,12131,Walton,FL,0.0,10.6,980096,439702,438100,102294,10.437140851508424
20,12053,Hernando,FL,0.0,10.4,2459200,1059764,1121964,277472,11.283018867924529
21,12047,Hamilton,FL,0.0,25.3,164168,57034,47884,59250,36.09107743287364
22,12065,Jefferson,FL,0.0,15.9,179938,61694,55854,62390,34.67305405195123
23,12031,Duval,FL,30.24812367013061,12.2,12222654,3636332,3705798,4880524,39.93014937672293
24,13105,Elbert,GA,0.0,17.7,237758,77982,83252,76524,32.18566777984337
25,13213,Murray,GA,0.0,15.7,485566,227550,233834,24182,4.9801674746584395
26,16073,Owyhee,ID,0.0,13.2,148866,70010,66416,12440,8.356508537879703
27,16049,Idaho,ID,0.0,14.0,207406,101874,91306,14226,6.859010829002054
28,17105,Livingston,IL,0.0,12.2,427344,199920,198462,28962,6.777209929237336
29,17161,Rock Island,IL,31.39337669649699,12.6,1716900,681882,709716,325302,18.947055739996504
30,27087,Mahnomen,MN,25.59252110724756,16.4,64414,15398,14504,34512,53.57841463035986
31,18089,Lake,IN,26.95321157091623,13.3,6001176,2116920,2133214,1751042,29.178314383714127
32,4013,Maricopa,AZ,28.13202513030476,10.4,54448110,22118408,22288676,10041026,18.441459216858032
33,6067,Sacramento,CA,25.77459083688217,12.0,19110122,5775130,5880996,7453996,39.00548620254753
34,19159,Ringgold,IA,0.0,13.3,55776,27090,26914,1772,3.176993689041882
35,6107,Tulare,CA,21.74055436969868,19.9,5733170,2516416,2507284,709470,12.374829282927246
36,6069,San Benito,CA,0.0,8.7,801320,345540,338732,117048,14.606898617281486
37,19163,Scott,IA,26.00716326862879,11.7,2095446,879602,895662,320182,15.279897453811742
38,27053,Hennepin,MN,32.51453030215602,9.5,15258080,5551730,5610908,4095442,26.841135975168566
39,17125,Mason,IL,0.0,13.5,153626,73754,74938,4934,3.2116959368856834
40,36005,Bronx,NY,39.145930901757374,28.7,16993078,3466796,3816664,9709618,57.13866552016063
41,20099,Labette,KS,16.64015617537624,15.1,239044,105462,105964,27618,11.553521527417548
42,36119,Westchester,NY,35.974066837720486,8.7,12005702,4288730,4404626,3312346,27.589773592581256
43,36053,Madison,NY,31.189391178351396,10.7,809340,378388,384292,46660,5.765191390515729
44,21235,Whitley,KY,28.18664080133108,25.5,442616,211598,216642,14376,3.2479621161458234
45,44007,Providence,RI,34.55225302198617,14.8,7969992,3007992,3115860,1846140,23.163636801642962
46,36029,Erie,NY,36.50531822197997,12.8,11414634,4380310,4550576,2483748,21.75933104819655
47,48287,Lee,TX,0.0,11.0,214670,93030,92116,29524,13.753202590021893
48,36091,Saratoga,NY,27.16196191615356,7.1,2853854,1305222,1329806,218826,7.667736331290949
49,1121,Talladega,AL,32.280209804860206,19.0,974514,307278,317502,349734,35.88804265510808
50,21133,Letcher,KY,0.0,25.3,251184,121484,124472,5228,2.081342760685394
51,38017,Cass,ND,24.843238525819384,11.0,2303060,1000314,970248,332498,14.437226993651924
52,39035,Cuyahoga,OH,31.14631251873041,14.9,14988276,4632054,4811738,5544484,36.99213972307422
53,39061,Hamilton,OH,30.078515554766355,14.2,9969012,3305648,3386842,3276522,32.86706847178035
54,22075,Plaquemines,LA,0.0,15.0,275056,96154,92202,86700,31.52085393519865
55,22031,De Soto,LA,0.0,17.0,323890,99032,101224,123634,38.17160146963475
56,22111,Union,LA,0.0,20.3,250438,92352,92222,65864,26.299523235291765
57,22115,Vernon,LA,0.0,15.7,568658,230412,213288,124958,21.974191869278194
58,1087,Macon,AL,29.66574707212285,30.8,225974,20730,19734,185510,82.09351518316267
59,1041,Crenshaw,AL,0.0,20.4,157624,55626,57456,44542,28.258387047657717
60,24005,Baltimore,MD,32.359388665252816,9.3,10217012,2892732,3056196,4268084,41.774287825051005
60,24005,Baltimore,MD,32.359388665252816,9.3,6903870,1109790,1133128,4660952,67.5121634677362
2255,24510,Baltimore,MD,35.52854870897496,18.0,10217012,2892732,3056196,4268084,41.774287825051005
2255,24510,Baltimore,MD,35.52854870897496,18.0,6903870,1109790,1133128,4660952,67.5121634677362
61,24019,Dorchester,MD,0.0,14.1,392590,124866,134588,133136,33.912223948648716
62,24017,Charles,MD,20.091742833682552,6.8,2038468,393146,394392,1250930,61.36618283926949
63,24015,Cecil,MD,20.256261594910352,9.1,1257048,543744,548048,165256,13.146355588648962
64,25001,Barnstable,MA,27.60586532258355,8.6,2774812,1216002,1326536,232274,8.37080133717167
65,25017,Middlesex,MA,41.750016511487615,7.8,19647478,7403102,7608800,4635576,23.593745721461048
66,26103,Marquette,MI,21.98674276958056,13.4,804208,377626,373272,53310,6.628882080257843
67,26053,Gogebic,MI,22.330111192538396,17.5,171946,82184,78136,11626,6.76142509857746
68,26115,Monroe,MI,19.225549284387245,9.7,1864670,870900,878854,114916,6.162806287439601
69,26141,Presque Isle,MI,0.0,13.2,158040,76638,75602,5800,3.6699569729182486
70,27075,Lake,MN,0.0,10.0,130596,64674,61002,4920,3.767343563355692
71,27163,Washington,MN,23.466558938482017,4.9,3297498,1361700,1381518,554280,16.80910799642638
72,28001,Adams,MS,0.0,24.0,347118,76060,65570,205488,59.198312965619756
73,28087,Lowndes,MS,26.31879698193177,17.5,696146,180976,181094,334076,47.98935855409641
74,28143,Tunica,MS,0.0,25.0,114326,11440,11072,91814,80.30894109826286
75,28139,Tippah,MS,19.0654491193728,16.2,258856,102736,106376,49744,19.216861884599933
76,29099,Jefferson,MO,20.288886155759357,9.3,2747714,1312830,1311578,123306,4.487584952436826
77,30001,Beaverhead,MT,23.16508623507823,12.0,115868,55498,53304,7066,6.09831877653882
78,30105,Valley,MT,0.0,11.6,90352,40002,38568,11782,13.040109792810343
79,30005,Blaine,MT,24.331007698661555,18.1,83570,19364,18804,45402,54.32810817278928
80,30029,Flathead,MT,15.111239684180038,8.6,1315662,626584,619576,69502,5.282663784467439
81,33017,Strafford,NH,26.13788051285704,8.6,1587544,719006,744566,123972,7.80904340289151
82,34001,Atlantic,NJ,28.221831749732225,11.1,3311764,1150462,1196076,965226,29.14537388533724
83,34009,Cape May,NJ,0.0,9.8,1139946,505844,538948,95154,8.347237500723718
84,34041,Warren,NJ,22.161076512662543,8.2,1327758,573186,585276,169296,12.750516283840883
85,34019,Hunterdon,NJ,0.0,4.5,1559512,694238,709304,155970,10.001205505311917
86,34025,Monmouth,NJ,27.39468487443588,6.9,7740572,3222562,3326866,1191144,15.388320139648595
87,34023,Middlesex,NJ,28.554973831982032,8.3,10439306,2989522,3050626,4399158,42.14033001810657
88,35045,San Juan,NM,0.0,18.2,1452762,375550,381024,696188,47.92168297353593
89,36031,Essex,NY,18.834484833565742,11.6,444482,213462,209224,21796,4.903685638563542
90,37047,Columbus,NC,21.552099817242365,19.3,602650,188174,192252,222224,36.87447108603667
91,37039,Cherokee,NC,17.153822510025325,15.4,353164,162062,166740,24362,6.898211595745886
92,37149,Polk,NC,0.0,12.3,237538,104736,113976,18826,7.925468767102527
93,37009,Ashe,NC,0.0,15.5,322676,154226,157230,11220,3.477172147913077
94,37055,Dare,NC,0.0,8.4,452570,207996,214674,29900,6.606712773714564
95,37091,Hertford,NC,24.204502698635228,22.9,242188,45114,42354,154720,63.884255206698924
96,38097,Traill,ND,21.27656298821946,10.4,95682,46592,43892,5198,5.432578750444179
97,38053,McKenzie,ND,0.0,8.2,172614,77722,67582,27310,15.821428157623368
98,39167,Washington,OH,22.723168653281014,13.8,709324,334716,343536,31072,4.380508766092786
99,40095,Marshall,OK,0.0,14.6,188520,74490,74692,39338,20.866751538298324
100,41015,Curry,OR,0.0,16.4,280702,126290,129828,24584,8.758042336712956
101,41007,Clatsop,OR,22.54625970704392,13.3,495762,226412,230916,38434,7.752510277108773
102,41035,Klamath,OR,28.8300047748567,16.6,841294,371534,368498,101262,12.036458122844094
103,41033,Josephine,OR,23.332883959700617,13.8,1057956,475120,500606,82230,7.772534963646881
104,41065,Wasco,OR,19.01712472442645,12.8,318856,144456,144654,29746,9.328976089520035
105,48037,Bowie,TX,24.052970246311816,16.2,1106936,384668,378312,343956,31.072799150086368
106,42071,Lancaster,PA,30.221703408425338,7.7,6685274,2913278,3028228,743768,11.125467707082763
107,42095,Northampton,PA,33.17077148500539,8.8,3811718,1611472,1651474,548772,14.396972703647018
