County_Name,State_Abbr,Median_Income
Autauga County,AL,69841
Baldwin County,AL,75019
Barbour County,AL,44290
Bibb County,AL,51215
Blount County,AL,61096
Bullock County,AL,36723
Butler County,AL,44881
Calhoun County,AL,55826
Chambers County,AL,49295
Cherokee County,AL,50769
Chilton County,AL,61873
Choctaw County,AL,44483
Clarke County,AL,49167
Clay County,AL,51852
Cleburne County,AL,53319
Coffee County,AL,64672
Colbert County,AL,56736
Conecuh County,AL,42266
Coosa County,AL,57063
Covington County,AL,50886
Crenshaw County,AL,49040
Cullman County,AL,60916
Dale County,AL,53955
Dallas County,AL,36810
DeKalb County,AL,51149
Elmore County,AL,75553
Escambia County,AL,44447
Etowah County,AL,53070
Fayette County,AL,50733
Franklin County,AL,51493
Geneva County,AL,50951
Greene County,AL,31495
Hale County,AL,41325
Henry County,AL,60135
Houston County,AL,57531
Jackson County,AL,49454
Jefferson County,AL,64589
Lamar County,AL,47447
Lauderdale County,AL,59082
Lawrence County,AL,60040
Lee County,AL,61123
Limestone County,AL,83534
Lowndes County,AL,35160
Macon County,AL,45951
Madison County,AL,83528
Marengo County,AL,44205
Marion County,AL,50714
Marshall County,AL,60946
Mobile County,AL,58119
Monroe County,AL,40225
Montgomery County,AL,58153
Morgan County,AL,64858
Perry County,AL,34368
Pickens County,AL,47014
Pike County,AL,47961
Randolph County,AL,51551
Russell County,AL,50046
St. Clair County,AL,78993
Shelby County,AL,93543
Sumter County,AL,37981
Talladega County,AL,56249
Tallapoosa County,AL,57185
Tuscaloosa County,AL,63947
Walker County,AL,54509
Washington County,AL,60503
Wilcox County,AL,42236
Winston County,AL,48032
Aleutians East Borough,AK,72692
Aleutians West Census Area,AK,107344
Anchorage Municipality,AK,98152
Bethel Census Area,AK,70616
Bristol Bay Borough,AK,100625
Chugach Census Area,AK,88565
Copper River Census Area,AK,75053
Denali Borough,AK,88935
Dillingham Census Area,AK,74250
Fairbanks North Star Borough,AK,84722
Haines Borough,AK,72607
Hoonah-Angoon Census Area,AK,62500
Juneau City and Borough,AK,100513
Kenai Peninsula Borough,AK,77722
Ketchikan Gateway Borough,AK,89155
Kodiak Island Borough,AK,83716
Kusilvak Census Area,AK,48233
Lake and Peninsula Borough,AK,64000
Matanuska-Susitna Borough,AK,90625
Nome Census Area,AK,76643
North Slope Borough,AK,86313
Northwest Arctic Borough,AK,81298
Petersburg Borough,AK,77026
Prince of Wales-Hyder Census Area,AK,59079
Sitka City and Borough,AK,101207
Skagway Municipality,AK,78594
Southeast Fairbanks Census Area,AK,74223
Wrangell City and Borough,AK,64545
Yakutat City and Borough,AK,80625
Yukon-Koyukuk Census Area,AK,52642
Apache County,AZ,40338
Cochise County,AZ,58970
Coconino County,AZ,69748
Gila County,AZ,59089
Graham County,AZ,67326
Greenlee County,AZ,75239
La Paz County,AZ,49506
Maricopa County,AZ,85518
Mohave County,AZ,55799
Navajo County,AZ,52752
Pima County,AZ,67929
Pinal County,AZ,77588
Santa Cruz County,AZ,53614
Yavapai County,AZ,66106
Yuma County,AZ,60417
Arkansas County,AR,60831
Ashley County,AR,44481
Baxter County,AR,48427
Benton County,AR,89879
Boone County,AR,54195
Bradley County,AR,39565
Calhoun County,AR,63654
Carroll County,AR,55187
Chicot County,AR,39683
Clark County,AR,50985
Clay County,AR,48500
Cleburne County,AR,55979
Cleveland County,AR,50509
Columbia County,AR,47363
Conway County,AR,51212
Craighead County,AR,57615
Crawford County,AR,60362
Crittenden County,AR,54271
Cross County,AR,47012
Dallas County,AR,44694
Desha County,AR,36064
Drew County,AR,41071
Faulkner County,AR,65071
Franklin County,AR,51919
Fulton County,AR,38941
Garland County,AR,55409
Grant County,AR,72512
Greene County,AR,56793
Hempstead County,AR,47654
Hot Spring County,AR,52644
Howard County,AR,44492
Independence County,AR,56009
Izard County,AR,47728
Jackson County,AR,41215
Jefferson County,AR,48552
Johnson County,AR,44808
Lafayette County,AR,37237
Lawrence County,AR,44164
Lee County,AR,36860
Lincoln County,AR,51667
Little River County,AR,52241
Logan County,AR,54237
Lonoke County,AR,71449
Madison County,AR,53888
Marion County,AR,46953
Miller County,AR,49983
Mississippi County,AR,53428
Monroe County,AR,43955
Montgomery County,AR,49015
Nevada County,AR,41761
Newton County,AR,47395
Ouachita County,AR,49838
Perry County,AR,60078
Phillips County,AR,38874
Pike County,AR,51000
Poinsett County,AR,47188
Polk County,AR,49252
Pope County,AR,54606
Prairie County,AR,51094
Pulaski County,AR,60385
Randolph County,AR,52838
St. Francis County,AR,41784
Saline County,AR,76534
Scott County,AR,45955
Searcy County,AR,41978
Sebastian County,AR,56450
Sevier County,AR,51641
Sharp County,AR,42950
Stone County,AR,38531
Union County,AR,50221
Van Buren County,AR,47266
Washington County,AR,66426
White County,AR,53435
Woodruff County,AR,49982
Yell County,AR,58870
Alameda County,CA,126240
Alpine County,CA,110781
Amador County,CA,81526
Butte County,CA,68574
Calaveras County,CA,79877
Colusa County,CA,75149
Contra Costa County,CA,125727
Del Norte County,CA,66780
El Dorado County,CA,106190
Fresno County,CA,71434
Glenn County,CA,70487
Humboldt County,CA,61135
Imperial County,CA,56393
Inyo County,CA,72432
Kern County,CA,67660
Kings County,CA,68750
Lake County,CA,58738
Lassen County,CA,64395
Los Angeles County,CA,87760
Madera County,CA,75496
Marin County,CA,142785
Mariposa County,CA,65378
Mendocino County,CA,64688
Merced County,CA,65044
Modoc County,CA,56648
Mono County,CA,86953
Monterey County,CA,94486
Napa County,CA,108970
Nevada County,CA,84905
Orange County,CA,113702
Placer County,CA,114678
Plumas County,CA,64946
Riverside County,CA,89672
Sacramento County,CA,88724
San Benito County,CA,108289
San Bernardino County,CA,82184
San Diego County,CA,102285
San Francisco County,CA,141446
San Joaquin County,CA,88531
San Luis Obispo County,CA,93398
San Mateo County,CA,156000
Santa Barbara County,CA,95977
Santa Clara County,CA,159674
Santa Cruz County,CA,109266
Shasta County,CA,71931
Sierra County,CA,60000
Siskiyou County,CA,55499
Solano County,CA,99994
Sonoma County,CA,102840
