,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
0,Abbeville County,South Carolina,292784,103056,105476,84252
1,Acadia Parish,Louisiana,684690,266696,277928,140066
2,Accomack County,Virginia,400192,134548,138366,127278
3,Ada County,Idaho,6179290,2844184,2800998,534108
4,Adair County,Iowa,89582,43564,43142,2876
5,Adair County,Kentucky,228688,106704,108672,13312
6,Adair County,Missouri,303644,132206,142184,29254
7,Adair County,Oklahoma,234750,49504,49046,136200
8,Adams County,Colorado,6341402,2730684,2643976,966742
9,Adams County,Idaho,56202,27664,24874,3664
10,Adams County,Illinois,779010,355488,363220,60302
11,Adams County,Indiana,433906,211088,211528,11290
12,Adams County,Iowa,43640,21276,21032,1332
13,Adams County,Mississippi,347118,76060,65570,205488
14,Adams County,Nebraska,372916,175030,176440,21446
15,Adams County,North Dakota,25842,11616,12052,2174
16,Adams County,Ohio,330364,159210,160510,10644
17,Adams County,Pennsylvania,1268832,595404,605400,68028
18,Adams County,Washington,249222,111322,107006,30894
19,Adams County,Wisconsin,252536,124710,110396,17430
20,Addison County,Vermont,451360,212700,212350,26310
21,Aiken County,South Carolina,2079210,718294,745558,615358
22,Aitkin County,Minnesota,191954,92634,89170,10150
23,Alachua County,Florida,3411868,1160538,1223656,1027674
24,Alamance County,North Carolina,2111878,733234,781496,597148
25,Alameda County,California,19859322,4809254,4687324,10362744
26,Alamosa County,Colorado,198560,84556,87302,26702
27,Albany County,New York,3799860,1380594,1448426,970840
28,Albany County,Wyoming,456636,213518,199006,44112
29,Albemarle County,Virginia,1374064,535962,577358,260744
30,Alcona County,Michigan,124286,60708,59098,4480
31,Alcorn County,Mississippi,412374,171670,177716,62988
34,Alexander County,Illinois,59234,18966,19402,20866
35,Alexander County,North Carolina,437004,199244,195496,42264
36,Alexandria city,Virginia,1888688,611778,639288,637622
37,Alfalfa County,Oklahoma,68368,34754,23902,9712
38,Alger County,Michigan,105288,46746,41572,16970
39,Allamakee County,Iowa,169038,82630,78666,7742
40,Allegan County,Michigan,1455568,694578,683316,77674
41,Allegany County,Maryland,810722,359462,356826,94434
42,Allegany County,New York,564546,274018,263274,27254
43,Alleghany County,North Carolina,133492,62530,62902,8060
44,Alleghany County,Virginia,179034,81026,84666,13342
45,Allegheny County,Pennsylvania,14882934,5778472,6006204,3098258
46,Allen County,Indiana,4694580,1816494,1869142,1008944
47,Allen County,Kansas,149878,68886,69668,11324
48,Allen County,Kentucky,254088,121436,123036,9616
49,Allen County,Ohio,1217914,503546,506208,208160
50,Allen Parish,Louisiana,270272,104608,89498,76166
51,Allendale County,South Carolina,92690,12928,9700,70062
52,Alpena County,Michigan,346604,166300,168166,12138
53,Alpine County,California,13904,5306,4360,4238
54,Amador County,California,495272,236206,204068,54998
55,Amelia County,Virginia,161138,62318,61684,37136
56,Amherst County,Virginia,377472,138636,152646,86190
57,Amite County,Mississippi,151096,43972,45622,61502
59,Anderson County,Kansas,93992,45710,43838,4444
60,Anderson County,Kentucky,291268,136806,138930,15532
61,Anderson County,South Carolina,2512224,981294,1034370,496560
62,Anderson County,Tennessee,945842,423942,439074,82826
63,Anderson County,Texas,700246,298478,220678,181090
64,Andrew County,Missouri,216910,103414,104390,9106
65,Andrews County,Texas,223322,106728,102648,13946
66,Androscoggin County,Maine,1356494,601498,625768,129228
67,Angelina County,Texas,1045774,415204,427686,202884
68,Anne Arundel County,Maryland,7166950,2577328,2557752,2031870
69,Anoka County,Minnesota,4431280,1809098,1776150,846032
70,Anson County,North Carolina,266986,65264,60916,140806
71,Antelope County,Nebraska,75630,37464,36312,1854
72,Antrim County,Michigan,288124,138904,137926,11294
73,Apache County,Arizona,785456,92246,86914,606296
74,Appanoose County,Iowa,146466,70260,70432,5774
75,Appling County,Georgia,221814,84506,85770,51538
76,Appomattox County,Virginia,198338,77376,79158,41804
77,Aransas County,Texas,296430,135584,138310,22536
78,Arapahoe County,Colorado,7908598,2983180,2979086,1946332
79,Archer County,Texas,105782,49600,49918,6264
80,Archuleta County,Colorado,165710,76266,75274,14170
81,Arenac County,Michigan,180790,88586,84264,7940
82,Arkansas County,Arkansas,199438,70388,71092,57958
83,Arlington County,Virginia,2839834,1069068,1021334,749432
